"Timestamp","Q1. When making an important decision, you usually: ","Q2 :  When choosing between two options, you tend to: ","Q3 :  When you feel uncertain or confused, you: ","Q4 : When solving a problem, you usually:","Q5 :  When giving advice to someone, you: ","Q6 : In situations involving risk, you:","Q7 : When you need to decide quickly, you:","Q8 : Which best describes your overall decision-making style?"
"2026/04/12 12:24:35 am GMT+5:30","Decide quickly without overthinking","Use both logic and intuition","Wait until things become clearer","Act based on what feels right","Speak based on emotions and feelings","Make decisions based on emotions","Go with your first instinct","Emotional Thinker"
"2026/04/12 12:25:20 am GMT+5:30","Carefully analyze all details before deciding","Compare pros and cons in detail","Ask someone for guidance","Try different approaches randomly","Provide logical reasoning","Carefully evaluate all possible outcomes","Try to stay logical even under pressure","Logical Thinker"
"2026/04/12 12:26:14 am GMT+5:30","Balance both logic and intuition","Use both logic and intuition","Wait until things become clearer","Follow a structured, step-by-step approach","Suggest what others have done","Avoid taking risks","Choose the safest option","Balanced Thinker"
"2026/04/12 12:11:15 pm GMT+5:30","Carefully analyze all details before deciding","Use both logic and intuition","Use a mix of logic and intuition","Act based on what feels right","Provide logical reasoning","Follow others’ opinions","Try to stay logical even under pressure","Logical Thinker"
"2026/04/12 12:16:52 pm GMT+5:30","Carefully analyze all details before deciding","Pick the safest option","Trust your gut feeling","Combine logical thinking and instinct","Provide logical reasoning","Avoid taking risks","Choose the safest option","Balanced Thinker"
"2026/04/12 12:17:18 pm GMT+5:30","Follow what feels right in the moment","Use both logic and intuition","Break the situation into smaller parts and analyze","Try different approaches randomly","Avoid giving direct advice","Make decisions based on emotions","Use both logic and intuition","Emotional Thinker"
"2026/04/12 12:17:53 pm GMT+5:30","Decide quickly without overthinking","Go with your instinct","Use a mix of logic and intuition","Follow a structured, step-by-step approach","Suggest what others have done","Follow others’ opinions","Go with your first instinct","Logical Thinker"
"2026/04/12 12:20:44 pm GMT+5:30","Seek opinions from others","Compare pros and cons in detail","Wait until things become clearer","Act based on what feels right","Balance logic and emotions","Avoid taking risks","Try to stay logical even under pressure","Emotional Thinker"
"2026/04/12 12:21:15 pm GMT+5:30","Balance both logic and intuition","Choose based on others’ suggestions","Break the situation into smaller parts and analyze","Observe how others handle it","Speak based on emotions and feelings","Balance logic and emotions","Ask someone immediately","Balanced Thinker"
"2026/04/12 12:21:49 pm GMT+5:30","Carefully analyze all details before deciding","Go with your instinct","Wait until things become clearer","Act based on what feels right","Balance logic and emotions","Avoid taking risks","Choose the safest option","Logical Thinker"
"2026/04/12 12:22:51 pm GMT+5:30","Follow what feels right in the moment","Pick the safest option","Ask someone for guidance","Follow a structured, step-by-step approach","Speak based on emotions and feelings","Follow others’ opinions","Choose the safest option","Emotional Thinker"
"2026/04/12 12:23:27 pm GMT+5:30","Decide quickly without overthinking","Use both logic and intuition","Break the situation into smaller parts and analyze","Act based on what feels right","Avoid giving direct advice","Balance logic and emotions","Try to stay logical even under pressure","Logical Thinker"
"2026/04/12 12:23:53 pm GMT+5:30","Seek opinions from others","Go with your instinct","Use a mix of logic and intuition","Observe how others handle it","Provide logical reasoning","Avoid taking risks","Go with your first instinct","Emotional Thinker"
"2026/04/12 12:24:51 pm GMT+5:30","Balance both logic and intuition","Compare pros and cons in detail","Break the situation into smaller parts and analyze","Try different approaches randomly","Speak based on emotions and feelings","Follow others’ opinions","Try to stay logical even under pressure","Balanced Thinker"
"2026/04/12 12:25:14 pm GMT+5:30","Carefully analyze all details before deciding","Use both logic and intuition","Trust your gut feeling","Observe how others handle it","Suggest what others have done","Carefully evaluate all possible outcomes","Use both logic and intuition","Logical Thinker"
"2026/04/12 12:25:42 pm GMT+5:30","Decide quickly without overthinking","Compare pros and cons in detail","Ask someone for guidance","Combine logical thinking and instinct","Speak based on emotions and feelings","Follow others’ opinions","Try to stay logical even under pressure","Logical Thinker"
"2026/04/12 12:26:04 pm GMT+5:30","Seek opinions from others","Pick the safest option","Use a mix of logic and intuition","Follow a structured, step-by-step approach","Avoid giving direct advice","Avoid taking risks","Ask someone immediately","Balanced Thinker"
"2026/04/12 12:26:26 pm GMT+5:30","Balance both logic and intuition","Go with your instinct","Break the situation into smaller parts and analyze","Try different approaches randomly","Avoid giving direct advice","Balance logic and emotions","Go with your first instinct","Balanced Thinker"
